"SUL"	"Reuse"	"DeltaM"	"Method"	"N"	"MQ_Resets"	"sd"	"se"	"ci"
"srv_110pre1"	"srv_100"	69	"∂L*M"	500	277.368	10.1701248211492	0.454821808794951	0.893601775401623
"srv_110pre1"	"srv_100"	69	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_100"	69	"DL*M+"	500	497	0	0	0
"srv_110pre1"	"srv_100"	69	"DL*M"	500	497	0	0	0
"srv_110pre1"	"srv_100f"	47	"∂L*M"	500	276.864	9.66687130366403	0.432315627294696	0.849383219129168
"srv_110pre1"	"srv_100f"	47	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_100f"	47	"DL*M+"	500	497	0	0	0
"srv_110pre1"	"srv_100f"	47	"DL*M"	500	497	0	0	0
"srv_110pre1"	"srv_100h"	45	"∂L*M"	500	253.1	24.9582015307052	1.11616470437592	2.19296159987046
"srv_110pre1"	"srv_100h"	45	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_100h"	45	"DL*M+"	500	671.852	76.941732215441	3.44093887080623	6.76051373206499
"srv_110pre1"	"srv_100h"	45	"DL*M"	500	642.84	47.6133222629321	2.12933250429041	4.18356215436478
"srv_110pre1"	"srv_100m"	18	"∂L*M"	500	254.918	25.7953887383059	1.15360485449769	2.26652136321769
"srv_110pre1"	"srv_100m"	18	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_100m"	18	"DL*M+"	500	520.352	75.025126692799	3.35522566611265	6.59211047960777
"srv_110pre1"	"srv_100m"	18	"DL*M"	500	494.86	48.7657728453308	2.18087166114946	4.28482265063249
"srv_110pre1"	"srv_101"	45	"∂L*M"	500	253.4	25.3948379713512	1.13569167963068	2.23132682207058
"srv_110pre1"	"srv_101"	45	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_101"	45	"DL*M+"	500	768.512	75.8010914626819	3.38992786558471	6.66029091084245
"srv_110pre1"	"srv_101"	45	"DL*M"	500	741.096	48.2895282756227	2.15957335651381	4.24297724553662
"srv_110pre1"	"srv_101h"	18	"∂L*M"	500	250.772	25.4574188863032	1.13849038322922	2.23682551728728
"srv_110pre1"	"srv_101h"	18	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_101h"	18	"DL*M+"	500	529.466	74.6090199353364	3.33661680620098	6.55554910560654
"srv_110pre1"	"srv_101h"	18	"DL*M"	500	500.182	47.9875659830539	2.1460691922573	4.21644521712113
"srv_110pre1"	"srv_101k"	11	"∂L*M"	500	252.518	25.1828916541395	1.12621315217336	2.21270408059189
"srv_110pre1"	"srv_101k"	11	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_101k"	11	"DL*M+"	500	476.056	74.9494476524465	3.35184119653865	6.58546091276282
"srv_110pre1"	"srv_101k"	11	"DL*M"	500	448.476	48.3098862990636	2.16048379499984	4.24476601078881
"srv_110pre1"	"srv_102"	10	"∂L*M"	500	276.584	9.36388320181507	0.418765587452538	0.822761057602226
"srv_110pre1"	"srv_102"	10	"Adp"	500	301	0	0	0
"srv_110pre1"	"srv_102"	10	"DL*M+"	500	353.962	10.948987014024	0.489653584962403	0.96203678977812
"srv_110pre1"	"srv_102"	10	"DL*M"	500	352.898	7.25015347774803	0.324236720471022	0.637037414346876
